% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 23.73    0.000832           1       887       100 stat
 14.00    0.000491           8        62           getdents
 10.87    0.000381           1       445           read
  9.18    0.000322           1       263        18 openat
  8.67    0.000304           2       182           mmap
  6.70    0.000235           4        66           mprotect
  6.53    0.000229           0       480           fstat
  6.25    0.000219           1       282           close
  2.51    0.000088           2        52           munmap
  2.45    0.000086           3        34           open
  2.17    0.000076           0       213         4 lseek
  1.54    0.000054           3        20        20 access
  1.34    0.000047          16         3           getrandom
  1.25    0.000044           1        35           brk
  0.57    0.000020           1        23        14 ioctl
  0.43    0.000015           0        68           rt_sigaction
  0.26    0.000009           5         2           futex
  0.23    0.000008           8         1           fcntl
  0.23    0.000008           8         1           prlimit64
  0.20    0.000007           7         1           rt_sigprocmask
  0.20    0.000007           7         1           arch_prctl
  0.20    0.000007           7         1           set_tid_address
  0.20    0.000007           7         1           set_robust_list
  0.14    0.000005           1         9           lstat
  0.09    0.000003           3         1           getcwd
  0.06    0.000002           1         4         2 readlink
  0.00    0.000000           0         2           write
  0.00    0.000000           0         3           dup
  0.00    0.000000           0         3           getpid
  0.00    0.000000           0         1           execve
  0.00    0.000000           0         1           sysinfo
  0.00    0.000000           0         1           getuid
  0.00    0.000000           0         1           getgid
  0.00    0.000000           0         1           geteuid
  0.00    0.000000           0         1           getegid
  0.00    0.000000           0         3           sigaltstack
  0.00    0.000000           0         1         1 statfs
------ ----------- ----------- --------- --------- ----------------
100.00    0.003506                  3155       159 total
